person A,id A,person B,id B,connection,collection item,date,notes,original data,,,
Florence Rena Sabin,74652573,Louise Frazee,louise-frazee-medicine,recommends,"Series I, Box 1, Abbott, Maude E. folder, letter dated June 6, 1917",,"use letetr dated June 6th, 1917 from Maude E. Abbott enquiring about Dr. Frazee based on Sabin's recommendation.","Dr. Louise Frazee, Johns Hopkins graduate, working in clinical microscopy, Wassermann technique, etc… In 1917 Dr. Frazee is tryin gto go to France to help in the war and is seeking an appointment with the Canadian Army Medical Service.",,,
Florence Rena Sabin,74652573,Ethel Mya Das,ethel-das-medicine,recommends|mentioned in letter,"Series I, Box 1, Abbott, Maude E. letter from John Thomson, no date",,"this mention is an example of the type of ""accounting"" of where women in medicine were ""at"" between Sabin and her colleagues as they worked to find places for women to find professional sucess","Dr. Ethel Mya Das, ""an Indian with a Philadelphia Degree,"" ""just first rate"" (according to John Thomson) who is helping during WW1. Graduate of Women's Medical College of Philadelphia: APSL, Sabin Papers, Series I Correspondents, John Thomson to Maude Abbott c 1917 letter, Folder ""Abbott, Maude E.""",,,
Maude E. Abbott,74657198,Vera Dolgopol,vera-dolgopol-medicine,asks for advice,"Series I, Box 1, Abbott, Maude E.",,,"Vera Dolgopol is a scientist from Odessa looking for funds to work in the US, asks Abbott for advice who forwards letter to Sabin. No funds currently available, Sabin gives other suggestions",,,
Florence Rena Sabin,74652573,Vera Dolgopol,vera-dolgopol-medicine,asks for advice,"Series I, Box 1, Abbott, Maude E.",,,,,,
Florence Rena Sabin,74652573,Christianna Smith,16404234,corresponded with|recommends,,1926-1938,,"Christianna Smith, Mt Holyoke College (1929), department of zoology. Lots of correspondence recommending her.",,,
Florence Rena Sabin,74652573,Elizabeth Reese Wilkens,elizabeth-wilkens-medicine,corresponded with|requested reprints,"Florence Rena Sabin, ""Wilkens, Elizabeth Reese""",1925-1928,,"Dr. Elizabaeth Reese Wilkens, ""monocyte counting at Maryland State Sanitorium.""",,,
Lowell J. Reed,58730576,Persis Putnam,305455410,recommends|mentor relationship,"Florence Rena Sabin, ""Howell, Janet Clark""",,,"Dr Persis Putnam, Lowell J. Reed recommends Dr. Putnam for a prize administered at Johns Hopkins U , Janet Howell Clark forwards the name to FRS(in folder Clark, Janet Howell). Series I, Box 4",,,
Janet Howell Clark,34818238,Persis Putnam,305455410,received letter of recommendation about,"Florence Rena Sabin, ""Howell, Janet Clark""",,,,,,
Florence Rena Sabin,74652573,Persis Putnam,305455410,received letter of recommendation about,"Florence Rena Sabin, ""Howell, Janet Clark""",,,,,,
Florence Rena Sabin,74652573,Ethel C. Dunham,78379086,corresponded with,"Florence Rena Sabin, ""Dunham, Ethel C.""",1926-1927,,"Dr. Ethel C. Dunham, New Haven Hospital, New Haven, Conn. And Yale University, Department of Pediatrics.",,,
Lowell J. Reed,58730576,Dorothy Wiehl,675145857064322921252,recommends,"Florence Rena Sabin, ""Howell, Janet Clark""",,,"Miss Dorothy Wiehl - statstical staff of Milbank Memorial Fund, working with Edgar Sydenstricker, has pulicaitions. Lowell Reed recommends her for a prize administered at Johns Hopkins U (in folder Clark, Janet Howell). Janet Howell Clark passes along the recommendation to FRS.",,,
Florence Rena Sabin,74652573,Dorothy Wiehl,675145857064322921252,received letter of recommendation about,"Florence Rena Sabin, ""Howell, Janet Clark""",,,,,,
Janet Howell Clark,34818238,Dorothy Wiehl,675145857064322921252,recommends|received letter of recommendation about,"Florence Rena Sabin, ""Howell, Janet Clark""",,,,,,
Florence Rena Sabin,74652573,Dorothy H. Anderson,dorothy-anderson-pathology,asks for advice|mentor relationship|recommends,"Florence Rena Sabin, ""Anderson, Dorothy H.""",1928|1928|1925,"Feature the letter from May 24, 1928 where Anderson asks for advice and refers to herself as a ""prodigal daughter of research"" - really shows how women relied on Sabin to help direct and support them.","Dorothy Anderson in the department of Pathology of Columbia University under J.W. Jobling. Head of the Department of Pathology of the Babies Hospital. She has excellent work in endicronology (1939). Series I, Box 1; a letter from Dorothy H. Anderson, Strong Hospital, Rochester, NY asking for a suggestin of where to work. No return letter. Anderson is listed by Sabin as being a woman of science in her letter to Anna E. Holman, Series I, Box 11",,,
Florence Rena Sabin,74652573,Dorothea Schallert Fuller,dorothea-fuller-medicine,corresponded with|mentor relationship,"Florence Rena Sabin, ""Fuller, Dorothea Schallert""",1934-38,,"Dorothea Schallert Fuller, has a LOR written by Kenneth C. Smithburn to go to study tropical medicine in Puerto Rico. She published an article ""A Note on the Staining of Tubercle Bacilli in Sections"" for the Journal of Laboratory and Clinical Medicine, Sabin writes to Dr. Gasser, head of Rockefeller Institute in 1937 to ask if it is ok that Mrs Fuller publish her article. ""Mrs Fuller who does all of our section cutting, as you know, has worked out a method for staining tubercle bacilli which we have found of such value that we want her to publish it... She has a Master's degree and has done part of the work for a Doctor's degree."" June 8, 1937, Herbert S. Gasser 1936-39, Box 9.",,,
Kenneth C. Smithburn,317280832,Dorothea Schallert Fuller,dorothea-fuller-medicine,recommends,"Herbert S. Gasser 1936-39, Box 9.","6/8/1937, August 4, 1938","6/8/1937, another recommendation from Smithburn in Fuller's folder dated August 4, 1938",,,,
Florence Rena Sabin,74652573,Kenneth C. Smithburn,317280832,recommends|published with,"Series 1, Box 1, Anderson, Rudolph J. folder. Document dated June 11, 1938","6/11/1938| 1932, 1933, 1934",,FRS recommends Kenneth Smithburn for Theobald Smith Award of the American Association for the Advancement of Science,,,
Florence Rena Sabin,74652573,Roxie Weber,roxie-weber-medicine,mentioned in letter,"Florence Rena Sabin, ""Austrian, Charles""",,,"Doctor Roxie Weber resign her position as director of the Clinical Laboratory at Sinai Hospital, Baltimore",,,
Florence Rena Sabin,74652573,Lenna Meanes,21158259238102300507,asks for recommendation,"Florence Rena Sabin, ""Meanes, Lenna L.""",,,Meanes is a medical doctor asking for recommendations for the Agamede Medal. Sabin writes a brief reply recommending Hamilton and Simmonds.,,,
Lenna Meanes,21158259238102300507,Alice Hamilton,32005966,received letter of recommendation about,"Florence Rena Sabin, ""Meanes, Lenna L.""",,,,,,
Lenna Meanes,21158259238102300507,Nina Simmonds Estill,26242763,received letter of recommendation about,"Florence Rena Sabin, ""Meanes, Lenna L.""",,,,,,
Florence Rena Sabin,74652573,Anna Baetjer,31884691,recommends,"Florence Rena Sabin, ""Holman, Anna E.""",,,"Dr. Anna Baetjer Department of Physiological Hygeine. A letter dated June 10, 1935 includes a recommendation from Dr. Meyer (male). Copies made of rec. Also found in Anna E. Holman folder, Series 1, Box 11. Also mentioned in the ""Jacqua, Ernest J"" folder, Series I, Box 11. FRS recommends Baetjer to Doctor Anna Holman.",,,
Janet Howell Clark,34818238,Anna Baetjer,31884691,recommends|worked in the same institution,"Sabin, ""Jacqua, Ernst J.""",1935,,Clark is named as someone who can speak positively of Baetjer's work,,,
Florence Rena Sabin,74652573,George Washington Corner,42219648,coresponded with|requested reprints,"Florence Rena Sabin, ""Corner, George Washington""",1925-1938,,"University of Rochester, 1925-1938",,,
Florence Rena Sabin,74652573,Margaret Taylor Ross,margaret-ross-medicine,corresponded with,"Florence Rena Sabin, ""Ross, Margaret T.""",1936,,"Dr. Margaret Taylor Ross, Physician-in-charge at Brigham Hall Hospital, Canandaigua, NY, she was a resident at Syracuse Psychopathic Hospital, May 1, 1940",,,
Florence Rena Sabin,74652573,Elizabeth Bass,elizabeth-bass-medicine,corresponded with|requested reprints,"Florence Rena Sabin, ""Bass, Elizabeth""",1939-1940,,"Dr. Elizabeth Bass, Tulane University of Louisiana, school of medicine, FRS sent reprints to Dr. Bass of her book An Atlas of the Medulla and Midbrain, Bass sends thank you note.",,,
Florence Rena Sabin,74652573,Helen Dean King,51423735,mentioned in letter,"Florence Rena Sabin, ""Holman, Anna E.""",,,"Helen Dean King - see digitized material in Anna E. Homan folder, Series I, Box 11",,,
Florence Rena Sabin,74652573,Florence Barbara Seibert,290322767,corresponded with|mentor relationship|recommends|used this person's scientific contribution,"Florence Rena Sabin, ""Florence, Barbara Seibert""",1928-1936|1928-1946|1939,,,,,
Florence Rena Sabin,74652573,Frieda Baumann,frieda-baumann-medicine,corresponded with,"Florence Rena Sabin, ""Baumann, Frieda""",1932,,"Frieda Baumann, MD, President Alumane Association of the Woman's Medical College of Pennsylvania, invited FRS to give a talk to the Alumanae Association of the Women's Medical College. FRS declined due to anothr appointment.",,,
Florence Rena Sabin,74652573,Rose F. Beals,70593498,corresponded with,"Florence Rena Sabin, ""Beals, Rose F.""",1926-1935,,"Dr. Rose F. Beals, American Marathi Mission Hospital, Wai via Poona, India.",,,
Florence Rena Sabin,74652573,Abraham Flexner,24735888,corresponded with|mentor relationship,"Florence Rena Sabin, ""Flexner, Abraham""",1925-1944,,,,,
Florence Rena Sabin,74652573,Regina C. Beck,regina-beck-pathology,corresponded with|requested reprints,"Florence Rena Sabin, ""Beck, Regina C.""",1937-1938,,"Dr. Regina C. Beck, M.D., Pathologist, Stuart Circle Hospital, Richmond, VA,",,,
Florence Rena Sabin,74652573,Consuelo Vadillo,consuelo-vadillo-gynecology,recommends,"Florence Rena Sabin, ""Brainerd, Heloise""",1934,,"Consuelo Vadillo, from Marida, Yucatan, Mexico, a gynecologist, who goes on to Women's Medical College at Philadelphia based on Sabin's recommendation. See the letter from her in the Heloise Brainerd, 1934 file. Brainerd is not a scientist, but associated with the Pan American Union. Also interesting is that Vadillo is able to do this post graduate study because she received a $1500 scholarship from the AAUW, who for this year awards five to US women, one to Europe and one to South America. Dr. Vadillo is the only woman physician in the Yucaton, daughter of a physician there. See also the article by Lillian Estelle Fisher, ""The Influence of the Present Mexican Revolution upon the Status of Mexican Women"" The Hispanic American Historical Review (1942), page 225. Ironically, it seems Sabin first doubt Vadillo's trianing in 2/1/34 letter to Kathryn McHale, Series I, Box 14",,,
Florence Rena Sabin,74652573,Kathryn McHale,167147118238026341559,corresponded with,"Florence Rena Sabin, ""McHale, Kathryn""",1934,,,,,
Kathryn McHale,167147118238026341559,Consuelo Vadillo,consuelo-vadillo-gynecology,recommends,"Florence Rena Sabin, ""McHale, Kathryn""",1934,,,,,
Consuelo Vadillo,consuelo-vadillo-gynecology,Catherine Macfarlane,catherine-macfarlane-medicine,mentor relationship,"Florence Rena Sabin, ""Brainerd, Heloise""",1934,,Catherine Macfarlane recommends curriculum for Vadillo at Women's Medical College,,,
Florence Rena Sabin,74652573,Alice Hamilton,32005966,corresponded with|mentor relationship|recommends,"Florence Rena Sabin, ""Hamilton, Alice""",1925-1942|1925-1942|????,,"Dr. Alice Hamilton, writing from Harvard, asks for suggestions of women to fill the post of director of occupational disease clinic at Mass General Hosptial. Sabin recommends Dr. Doris A. Murray, school of hygeine, Johns Hopkins University, Dr. Cathryn Riley, JHU, and Miss Helen Louise Hopkins also JHU",,,
Florence Rena Sabin,74652573,Doris A. Murray,doris-murray-medicine,recommends,"Florence Rena Sabin, ""Hamilton, Alice""",,,"school of hygeine, Johns Hopkins University",,,
Florence Rena Sabin,74652573,Cathryn Riley,cathryn-riley-medicine,recommends,"Florence Rena Sabin, ""Hamilton, Alice""",,,at Johns Hopkins University,,,
Florence Rena Sabin,74652573,Helen Louise Hopkins,helen-hopkins-medicine,recommends,"Florence Rena Sabin, ""Hamilton, Alice""",,,at Johns Hopkins University,,,
Alice Hamilton,32005966,Doris A. Murray,doris-murray-medicine,received letter of recommendation about,"Florence Rena Sabin, ""Hamilton, Alice""",,,,,,
Alice Hamilton,32005966,Cathryn Riley,cathryn-riley-medicine,received letter of recommendation about,"Florence Rena Sabin, ""Hamilton, Alice""",,,,,,
Alice Hamilton,32005966,Helen Louise Hopkins,helen-hopkins-medicine,received letter of recommendation about,"Florence Rena Sabin, ""Hamilton, Alice""",,,,,,
Florence Rena Sabin,74652573,Gladys Dick,26144977,mentioned in letter,"Florence Rena Sabin, ""Holman, Anna E.""",1936,,"Dr. Gladys Dick, Cancer and Scarlet Fever Specialist, Chicago Univeristy. Series I, Box 11, ""Anna E. Holman, -1936"" mentioned in letter dated May 20, 1936",,,
Florence Rena Sabin,74652573,Rebecca Lancefield,194154196756120110412,recommends,"Florence Rena Sabin, ""Holman, Anna E.""",,,"Dr. Rebecca Lansefield (or Lancefield), Rockefeller Institute, bacteriologist working on streptcocci important for puerperal fever - studied in the department of Homer Swift at Rockefeller. Found in Anna E. Holman folder, Series 1, Box 11",,,
Florence Rena Sabin,74652573,Clara Lynch,clara-lynch-biology,recommends,"Florence Rena Sabin, ""Holman, Anna E.""",,,"Dr. Clara Lynch, geneticist at Rockefeller Institute, found in Anna E. Holman folder, Series 1, Box 11",,,
Florence Rena Sabin,74652573,Louise Pearce,56214499,corresponded with,"Florence Rena Sabin, ""Pearce, Louise""",1936-1943,,,,,
Florence Rena Sabin,74652573,Virginia C. Gildersleeve,113516350,corresponded with,"Florence Rena Sabin, ""Gildersleeve, Virginia C.""",1928-1936,,"Virginia C. Gildersleeve, Dean of Barnard College, Columbia University. Corresponds a lot about women's clubs such as ACA and International Federation fo University Women",,,
Florence Rena Sabin,74652573,Josephine Bicknell Neal,5530161211633340070008,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",,,"Dr. Josephine Bicknell Neal, Neurological specialist, New York City",,,
Lilian Welsh,73239411,Josephine Bicknell Neal,5530161211633340070008,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",,,"nominated for ESR prize, application does not get very favorable comments",,,
Florence Rena Sabin,74652573,Anna Foà,264088554,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",,,Dr. Foa recommended for Ellen Swallow Richards Prize,,,
Lilian Welsh,73239411,Anna Foà,264088554,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",,,,,,
Florence Rena Sabin,74652573,Bertha Van Hoosen,62835820,corresponded with|requested reprints,"Florence Rena Sabin, ""Van Hoosen, Bertha""",1927-1937|1932,,"Dr. Bertha Van Hoosen, Surgeon, Loyola University, Chicago, series 1",,,
Lilian Welsh,73239411,Bertha Van Hoosen,62835820,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",,,nominated for ESR prize,,,
Florence Rena Sabin,74652573,Alice Evans,16452241,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",,,applied for ESR prize,,,
Lilian Welsh,73239411,Alice Evans,16452241,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",,,applied for ESR prize,,,
Florence Rena Sabin,74652573,Kate Campbell Hurd-Mead,1354862,corresponded with|requested reprints,"Florence Rena Sabin, ""Mead, Kate Campbell-Hurd""",1933-1940|1935,,"Dr. Kate Campbell Mead, Haddam, Connecticut. Series I, Box 14",,,
Florence Rena Sabin,74652573,Catherine Macfarlane,catherine-macfarlane-medicine,corresponded with,"Florence Rena Sabin, ""Macfarlane, Catherine""",1936,,"Dr. Catherine Macfarlane, Surgeon, Women's Medical College, Pennsylvania. Series I, Box 14",,,
Florence Rena Sabin,74652573,Martha Tracy,martha-tracy-medicine,corresponded with,"Florence Rena Sabin, ""Tracy, Martha""",1922-1932,,"Dr. Martha Tracy, Professor of Preventative Medicine, Women's Medical College, Pennsylvania. Series 1, Box 22",,,
Florence Rena Sabin,74652573,Esther Richards,esther-richards-psychiatry,Women appearing in letters,,,,"Dr. Esther Richards, Psychiatrist, Johns Hopkins University",,,
Florence Rena Sabin,74652573,Jessie L. King,jessie-king-physiology,corresponded with|mentioned in letter,"Florence Rena Sabin, ""Corner, George Washington""",,King appears in the letters here as George Corner is trying to find funds for her to continue studying,"Dr. Jessie King, mentioned in letters to George Corner at UR, encourages King to apply for the ACA scholarship through the AAUW. Series I, Box 4 ""Corner, George Washington 1925-1938""",,,
George Washington Corner,42219648,Jessie L. King,jessie-king-physiology,mentioned in letter,"Florence Rena Sabin, ""Corner, George Washington""",,,,,,
Janet Howell Clark,34818238,Jessie L. King,jessie-king-physiology,collaborated with,"Florence Rena Sabin, Naples Table Association",,,served on committee together for Naples table,,,
Florence Rena Sabin,74652573,Mary Denton,mary-denton-medicine,asks for introduction,"Florence Rena Sabin, ""D""",,,"Miss Mary Denton, Doshisha University, Kyoto, Japan (1931) Sabin writes to introduce her to Dr. Louise Pearce, who will be working as Professor at Peiping Union Medical College in China",,,
Louise Pearce,56214499,Mary Denton,mary-denton-medicine,mentioned in letter,"Florence Rena Sabin, ""D""",,,,,,
Florence Rena Sabin,74652573,Vera Danchakoff,42682155,corresponded with,"Florence Rena Sabin, ""Danchakoff, Vera""",1922-1927,,"Vera Danchakoff - fled Russia, working at Columbia Medical, also applied to the Ellen Richards Research Prize",,,
Margaret Reed Lewis,240455520,Vera Danchakoff,42682155,corresponded with,"Warren H. Lewis, ""Daunchakoff, Vera""",1941,,letter to Dr and Mrs Lewis about her situation and the possibility of finding a position,,,
Lilian Welsh,73239411,Vera Danchakoff,42682155,received letter of recommendation about,"Florence Rena Sabin, Naples Table Association",,,applied for ESR prize,,,
Florence Rena Sabin,74652573,M. A. Nutting,100983073,corresponded with,,,,"Miss M.A. Nutting, Butler Hall, Teacher's College, wrote a history of nursing, also corresponded with ESR. The history of nursing was written with Lavinia Dock",,,
M. A. Nutting,100983073,Lavinia Dock,100983087,published with,,,,,,,
Florence Rena Sabin,74652573,Marion Hines,6448391,corresponded with|recommends|mentor relationship,"Florence Rena Sabin, ""Hines, Marion""",1919-1936|1939,,"Dr. Marion Hines, anatomist, is offered a position in China in 1919. Writes to Sabin asking if she should go. Sabin advises her to stay in Chicago. In 1939 Sabin writes to Dr. Noble and recommends Marion Hines - in the Anatomical Department at Johns Hopkins Medical School. Hines works with Sarah Tower on a survey of the cerebral cortex with modern physiological methods. Series 1, Box 10",,,
Marion Hines,6448391,Florence Rena Sabin,74652573,asks for advice,"Florence Rena Sabin, ""Hines, Marion""",,,,,,
Marion Hines,6448391,Sarah Tower,36148120694594790960,worked at same institution as,"Florence Rena Sabin, ""DuPlaix, Jeanne""",,,,,,
Florence Rena Sabin,74652573,Sarah Tower,36148120694594790960,recommends,"Florence Rena Sabin, ""DuPlaix, Jeanne""",1937,,"Dr. Sarah Tower, a pupil of Dr. Marion Hines, who is working with her at JHU. Sabin writes that Tower has ""very exceptional skill as a brain surgeon."" She published in Physiological Reviews. Series I, Box 7 ""Jeanne DePlaix, 1937"" folder",,,
Marion Hines,6448391,Sarah Tower,36148120694594790960,mentor relationship,"Florence Rena Sabin, ""DuPlaix, Jeanne""",,,,,,
John Faquhar Fulton,66595684,Sarah Tower,36148120694594790960,recommends,"Florence Rena Sabin, ""DuPlaix, Jeanne""",1937,,see document in Jeanne DuPlaix folder for the dual recommendation of Hines and Tower,,,
John Faquhar Fulton,66595684,Marion Hines,6448391,recommends,"Florence Rena Sabin, ""DuPlaix, Jeanne""",1937,,see document in Jeanne DuPlaix folder for the dual recommendation of Hines and Tower,,,
Florence Rena Sabin,74652573,Nina Simmonds Estill,26242763,corresponded with|requested reprints|recommends,"Florence Rena Sabin, ""Simmonds, Nina""",1929,,"Nina Simmonds Estill - in a letter in the E folder, she discusses how she got married and didn't want to have two full time interests so quit the work she loves in the laboratory. Series 1, Box 20 ""Nina Simmonds"" and also in Box 7.",,,
Nina Simmonds Estill,26242763,Helen Louise Hopkins,helen-hopkins-medicine,mentioned in letter,"Florence Rena Sabin, ""E""",1931,,"NSE and HLH both in San Francisco, NSE mentions the latter in a letter",,,
Florence Rena Sabin,74652573,Marietta Blau,52591350,received letter of recommendation about,"Florence Rena Sabin, ""Einstein, Albert""",,,"Dr. Marietta Blau, employed at Institute for Radiumforschung in Vienna, a Jewish woman seeking to leave Austria in 1936. Albert Einstein wrote Sabin a letter asking if she might be placed somewhere.",,,
Florence Rena Sabin,74652573,Agnes Pockels,164710878,mentioned in letter,"Florence Rena Sabin, ""Clark, Janet Howell""",,,"FRS states that Agnes Pockels was ""one of the very original workers on surface tension."" January 16, 1939 letter in Janet Howell Clark papers.",,,
Florence Rena Sabin,74652573,Emmy Noether,73918294,mentioned in letter,"Florence Rena Sabin, ""Einstein, Albert""",,,"Emmy Noether, nice obituary written about her by Albert Einstein, Sabin is part of an effort in 1936 to raise a Memorial Fund of $25,000. Sabin describes her life as ""It seems that she was the most outstanding mathematician who ever lived. She was dismissed from the University of Goettinghen both because she was a woman and a Jewess and was then invited to Bryn Mawr College when she spent two happy years and then unfortunately died."" Series II, Box 32-33",,,
Florence Rena Sabin,74652573,Anna E. Many,21387165,mentioned in letter,"Florence Rena Sabin, ""Emmy Noether Memorial Fund""",,,Many's name appears on a list of contributors to the fund,,,
Louise Pearce,56214499,Annie Jump Cannon,37667347,collaborated with,"Florence Rena Sabin, ""Emmy Noether Memorial Fund""",,,served on active committee for Emmy Noether fund together,,,
Louise Pearce,56214499,Alice Hamilton,32005966,collaborated with,"Florence Rena Sabin, ""Emmy Noether Memorial Fund""",,,served on active committee for Emmy Noether fund together,,,
Annie Jump Cannon,37667347,Alice Hamilton,32005966,collaborated with,"Florence Rena Sabin, ""Emmy Noether Memorial Fund""",,,served on active committee for Emmy Noether fund together,,,
Louise Pearce,56214499,Clara Lynch,clara-lynch-biology,corresponded with,"Florence Rena Sabin, ""Emmy Noether Memorial Fund""",,,Pearce mentions corresponding with Lynch to Sabin,,,
Louise Pearce,56214499,Elise S. L'Esperance,elise-lesperance-pathology,corresponded with,"Florence Rena Sabin, ""Emmy Noether Memorial Fund""",,,Pearce mentions corresponding with L'Esperance to Sabin,,,
Florence Rena Sabin,74652573,Lilian Vaughan Morgan,207145857936423021318,corresponded with,"Florence Rena Sabin, ""Emmy Noether Memorial Fund""",,,"Asks LVM to serve on committee. Vaughan to busy to commit, but will let them use her name.",,,
Florence Rena Sabin,74652573,Lise Meitner,64160163,received letter of recommendation about,"Florence Rena Sabin, ""American Association of University Women""",,,"Lisa Meitner, Berlin, received Naples Table Association Award, In 1938, Esther Caukin Brannauer writes to the AAUW letting them knw that Meitner is ""considered the outstanding woman physicist since the death of Madam Curie"" for her work in radioactivity. She is ""partly Jewish"" and needs to leave Germany.",,,
Florence Rena Sabin,74652573,Christine Essenberg,91195075,asks for advice,"Florence Rena Sabin, ""Essenberg, Christine A.""",1924,,"Dr. Christine Essenberg, wanting to establish a school for girls in Damascus. Doctorate in biology. There is a letter from her requesting to meet Sabin after she is introduced by Edgar L. Hewett. No follow up or response. Series I, Box 7",,,
Florence Rena Sabin,74652573,Hertha Sponer,20509982,received letter of recommendation about,"Florence Rena Sabin, ""Sponer, Hertha""",,,"Dr Hertha Sponer - called ""really first class"" by Marion Hines who is seeking a position for her in 1934 as she has to leave Gottingen. Abraham Flexner, at Sabin's urging, attempts to get her a scholarship from Duggan Committee (a committee helping displaced German scholars) - Sponer ends up receiving a post in Oslo and then teaches at Duke University https://physics.duke.edu/about/history/historical-faculty/HerthaSponer",,,
Florence Rena Sabin,74652573,Matilda Moldenhauer Brooks,72414842,corresponded with,"Florence Rena Sabin, Naples Table Association",,,"Dr. Matilda Moldenhauer Brooks - at Univesrity of California in 1930. Applies many times to the Naples Table Association prize, in 1930 there is a large debate over her work with Osterhut saying it's not good and others, like Lenoard Loeb, writing letters to support her. She is married and works with her husband. She is said to have a disagreeable personality that led to a dispute with a ""Dr. Irwin."" Brooks is awarded the Naples table for three months in 1931.",,,
Lilian Welsh,73239411,Matilda Moldenhauer Brooks,72414842,corresponded with,"Florence Rena Sabin, Naples Table Association",,,Brooks also reached out to Welsh about her Naples Table applications,,,
Janet Howell Clark,34818238,Matilda Moldenhauer Brooks,72414842,mentioned in letter,"Florence Rena Sabin, Naples Table Association",,,JHC asked to review a paper for the Naples Table. Recognizes it as Brooks's. Gives a negative evaluation.,,,
Margaret Reed Lewis,240455520,Matilda Moldenhauer Brooks,72414842,mentioned in letter,"Florence Rena Sabin, Naples Table Association",,,MRL serves as anonymous reviewer for MMB's work. Negative evaluation.,,,
Florence Peebles,3389154260604924480006,Matilda Moldenhauer Brooks,72414842,recommends,"Florence Rena Sabin, Naples Table Association",,,Peebles is distraught MMB has been denied the Naples table,,,
Florence Rena Sabin,74652573,Ella Strong Denison,denison-medicine,Women appearing in letters,"Florence Rena Sabin, ""Henry Strong Denison Medical Foundation""",,,"Mrs Denison - has a fund for helping medical students to obtain an introduction to research during medical courses. Series I, Box 27",,,
Florence Rena Sabin,74652573,Laura Florence,282980650,corresponded with,"Florence Rena Sabin, ""Florence, Laura""",1926,,"Laura Florence PhD Cornell, from the UK. Studied at University of Aberdeen, Scotland. See digital object for her CV, including where she studied and her publications. Series I, Box 8",,,
Florence Rena Sabin,74652573,Jean Macnamara,45059336,mentioned in letter,"Florence Rena Sabin, ""Foley, Edna L.""",,,"Dr. Jean McNamara, from Australia, Rockefeller Foundation guest, 1932.",,,
Florence Rena Sabin,74652573,Nora Archer,nora-archer-medicine,mentioned in letter,"Florence Rena Sabin, ""Foley, Edna L.""",,,"Dr. Nora Archer from Oxford, in the US as a guest of AAUW (possibly a fellow?) 1936",,,
Florence Rena Sabin,74652573,Virginia K. Frantz,289288012,corresponded with|requested reprints,"Florence Rena Sabin, ""Frantz, Virginia Kneeland""","1926, 1933|1926",,"Dr. Virginia K. Frantz, Department of surgery, college of physicians and surgeons, Columbia University, 1933. Series I, Box 8",,,
