person,id,id_type,gender,DOB,DOD,place_of_birth,field,education,affiliation,publications,membership_in_societies,awards_and_honors_received,image,notes,biography,relevant_links,collection,description,image_credit,image_notes
Rose F. Beals,70593498,VIAF,F,1874-08-01,1955-03-24,"Ahmednagar, India",Medicine|Women's health|Pediatrics,Smith College|Johns Hopkins University,,,,,,,"Rose Fairbanks Beals graduated from Smith College and studied medicine at Johns Hopkins University, graduating in 1900 in the same class as Florence Sabin. She spent most of her professional life as a missionary in India, first at the Union Mission Hospital until 1905. At that time she married Lester Beals and they worked together to build the American Marathi Mission Hospital in Wai via Poona, India. She oversaw the maternity ward and the health of women and children. She retired from the hospital in 1941.",https://archives.lib.duke.edu/catalog/fairbank,Florence Rena Sabin,"Dr. Rose F. Beals, American Marathi Mission Hospital, Wai via Poona, India.",,
Regina C. Beck,regina-beck-pathology,APS-WIS,F,,,,Pathology|Medicine,,Stuart Circle Hospital,,,,,,"Regina Beck was a pathologist and worked at Stuart Circle Hospital in Richmond, Virginia. She corresponded with Florence Sabin between 1937 and 1938.",,Florence Rena Sabin,"Dr. Regina C. Beck, M.D., Pathologist, Stuart Circle Hospital, Richmond, VA,",,folder
Ruth Rogan Benerito,ruth-benerito-chemistry,APS-WIS,F,1916-01-12,2013-10-05,New Orleans,Chemistry|Biophysics,Sophie Newcomb College|Tulane University|Bryn Mawr College|University of Chicago,Newcomb College|Tulane University|US Department of Agriculture|University of New Orleans,"Benerito, Ruth R., Truman L. Ward, Donald M. Soignet, and O. Hinojosa. ""Modifications of cotton cellulose surfaces by use of radiofrequency cold plasmas and characterization of surface changes by ESCA."" <i>Textile Research Journal</i> 51, no. 4 (1981): 224-232.|Benerito, Ruth R., Betsy B. Woodward, and John D. Guthrie. ""Preparation and properties of quaternary cellulose anion exchangers."" <i>Analytical Chemistry</i> 37, no. 13 (1965): 1693-1699.|Benerito, Ruth R., Beverly G. Webre, and J. B. McKelvey. ""A study of reactions between cotton cellulose and difunctional epoxides."" <i>Textile Research Journal</i> 31, no. 9 (1961): 757-769.",,,https://upload.wikimedia.org/wikipedia/commons/9/95/Ruth_R._Benerito.jpg,,"Ruth Rogan Benerito was an American chemist. Benerito invented a chemical treatment for cotton that allowed for the development of wrinkle-resistant, ""wash-and-wear"" fabrics. She received a BS in chemistry from Newcomb College and pursued her PhD at the University of Chicago, becoming part of ""quite a colony of Newcomb around Chicago"" in the words of Rose Mooney-Slater. After receiving her PhD in 1948, she returned to New Orleans, where she worked at Newcomb College, Tulane University, University of New Orleans, and for the USDA. At the USDA, she was a prolific inventor, holding 55 patents over the course of her career.",https://en.wikipedia.org/wiki/Ruth_R._Benerito,Rose Mooney-Slater,"Benerito was a chemist and worked on the chemistry of fabrics, especially cotton. Benerito and Slater corresponded often and were friends. She received a B.S. in chemistry from Newcomb College, graduate work at Bryn Mawr, M.S. from Tulane, Ph.D. in chemistry from University of Chicago. She also won the Garvvan Award from the American Chemical Society.","Ruth Rogan Benerito, in <i>USDA Women in Action</i>. United States Department of Agriculture. February 1968.",
Ellen Burtner Bevilacqua,ellen-bevilacqua-chemistry,APS-WIS,F,,,,Medicine|Tuberculosis research,,,The Separation and Characterization of Certain Tuberculin Components,,,,wife of Edward M. Bevilacqua,Little is known about Ellen Burtner Bevilacqua other than she worked with Florence Seibert on tuberculosis and completed her dissertation entitled <i>The Separation and Characterization of Certain Tuberculin Components</i> at University of Wisconsin-Madison in 1944. She was married to Edward M. Bevilacqua.,,Florence Barbara Seibert,,,
Marietta Blau,52591350,VIAF,F,1894-04-29,1970-01-27,Vienna,Physics|Mathematics,University of Vienna,University of Frankfurt am Main|Austrian Academy of Sciences|Instituto Politécnico Nacional (Mexico City)|Universidad Michoacana de San Nicolás de Hidalgo|Columbia University|Brookhaven National Laboratory|University of Miami,"Blau, Marietta, and Hertha Wambacher. ""Disintegration processes by cosmic rays with the simultaneous emission of several heavy particles."" <i>Nature</i> 140, no. 3544 (1937): 585-585.|Blau, Marietta. ""Die photographische Wirkung von H-Strahlen aus Paraffin und Aluminium."" <i>Zeitschrift für Physik</i> 34, no. 1 (1925): 285-295.",,Erwin Schrödinger Prize,https://upload.wikimedia.org/wikipedia/en/f/f2/Marietta_Blau.jpg,,"Marietta Blau was an Austrian physicist who studied rays and high energy nuclear particles. Blau is most famous for developing a method of preparing photographic emulsions that could be used to detect high speed particles. These nuclear emulsions allowed scientists to make new discoveries about cosmic rays. Despite her significance to the history of physics, Blau faced extreme precarity her whole life as a Jewish woman. After graduating from the University of Vienna, she had difficulty securing a stable position and worked several jobs in industry and at various universities. In 1923, she took an unpaid position at the Austrian Academy of Sciences. In 1938, she was force to leave Austria following the German annexation of Austria. Albert Einstein helped secure a position for her in Mexico, but she left for the United States in 1938 due to poor research conditions. There, she joined the US Atomic Energy Commission and worked at several universities. In 1960, she returned to her unpaid position at the Austrian Academy of Sciences due to a medically necessary operation she could not afford to have in the US. She was nominated twice for the Nobel Prize but did not win. In 1950, Cecil Powell won the Nobel Prize in Physics for work done using her methods.",,Florence Rena Sabin,"Dr. Marietta Blau, employed at Institute for Radiumforschung in Vienna, a Jewish woman seeking to leave Austria in 1936. Albert Einstein wrote Sabin a letter asking if she might be placed somewhere.","Portrait of Marietta Blau, 1937, AIP Emilio Segrè Visual Archives, Gift of Eva Connors. American Institute of Physics",https://upload.wikimedia.org/wikipedia/en/f/f2/Marietta_Blau.jpg
Minnie Wright Blogg,minnie-wright-blogg-medicine,APS-WIS,F,,,,,,Johns Hopkins University,,,,,,"Minnie Wright Blogg was a librarian at Johns Hopkins University Library. She provided bibliographic services in the sciences and medicine. Of particular note is a bibliography she prepared of William Osler's publications. This bibliography was the basis for a longer classified and annotated bibliography of his work, prepared by Maude Abbott in 1939.",,Simon Flexner|Peyton Rous,,,Rous folder
Lizann Bolinger,lizann-bolinger-biophysics,APS-WIS,F,,,,Biochemistry|Biophysics|Biology,Case Western Reserve University|University of Pennsylvania,"University of Pennsylvania|University of Iowa|Institute for Biodiagnostics, National Research Council Canada|SRA International|General Dynamics Information Technology","Bolinger, Lizann, and Robert E. Lenkinski. ""Localization in clinical NMR spectroscopy."" In <i>In vivo spectroscopy</i>, pp. 1-53. Springer, Boston, MA, 1992.|Maris, John M., Audrey E. Evans, Alan C. McLaughlin, Giulio J. D'Angio, Lizanne Bolinger, Helen Manos, and Britton Chance. ""31P nuclear magnetic resonance spectroscopic investigation of human neuroblastoma in situ."" <i>New England Journal of Medicine</i> 312, no. 23 (1985): 1500-1505.",,,,,"Lizann Bolinger is a researcher specializing in magnetic resonance imaging. Bolinger completed her PhD in biophysics at the University of Pennsylvania in 1989 with a dissertation on new techniques for nuclear magnetic resonance spectroscopic imaging. Subsequently, she held professorships at the University of Pennsylvania and the University of Iowa. In 2003, she left academia and worked at the Institute for Biodiagnostics at the National Research Council of Canada. She continues to work in industry today.",,Mildred Cohn,"Cohn has Boilnger's ""Introduction to Spectroscopy"" in her materials",,
Kristine Bonnevie,39739770,VIAF,F,1872-10-08,1948-08-30,Trondheim,Genetics|Cellular biology|Embryology|Biology|Marine biology|Zoology,Royal Frederick University,,,Norwegian Academy of Science and Letters,King's Medal of Merit (1920)| Order of St. Olav (1946),https://diglib.amphilsoc.org/islandora/object/graphics:1895/datastream/JPG/view,,"Kristine Bonnevie researched genetics and embryology. She was a Norwegian biologist and the first woman to receive a PhD in scientific studies and the first woman professor in Norway. She studied medicine at the University of Oslo in 1892 and then shifted focus to zoology and marine biology. She studied in Europe and the US, and in Germany with Theodor Boveri. She finished her PhD in 1906 and then spent two years at Columbia University. In 1910 she returned to Norway to be a professor at Bergen Museum. At the time, women were not allowed to hold positions of office, which professorships were categorized under in Norway, and two colleagues, Georg Sars and Robert Collett, pushed for Norway's Parliament to change the law. In 1912 an act called ""Lex Bonnevie"" granted women the right to hold positions as professors. She remained a professor at Royal Frederick University until 1937. Later in her career she also studied fingerprints to see if they could determine hereditary connections. She also contributed to the Committee on Intellectual Cooperation at the League of Nations—alongside Marie Curie and Albert Einstein—between 1922 and 1933.",https://en.wikipedia.org/wiki/Kristine_Bonnevie,L. C. Dunn|Milislav Demerec|Charles Benedict Davenport|Bronson Price,,"Bonnevie (?), formal portrait, n.d. Milislav Demerec Papers, APS.",
Marcella O'Grady Boveri,67213469,VIAF,F,1863-10-07,1950-10-24,"Boston, MA",Biology,Massachusetts Institute of Technology|Harvard University,,,,,https://asset.museum-digital.org/rheinland/images/16/8357-88024/marcella_boveri_vor_maerz/marcella-boveri-vor-maerz-1900-88024-p-8357.jpg,,"Marcella Boveri was an American biologist. She was the first woman to graduate with a degree in biology from the Massachusetts Institute of Technology in 1882. In the 1890s she was admitted to study science at the University of Würzburg in Germany where she met and fell in love with her soon to be husband Theodor Boveri, who incidentally initially opposed women working in science. The Boveris would continue to work together in science, however Marcella’s husband’s name received the credit for their collaborative work.",https://en.wikipedia.org/wiki/Marcella_Boveri,Simon Flexner|Florence Rena Sabin|Curt Stern,"Boveri held the Naples Table in 1912. A letter from Marcella Boveri (holds the Naples Table in 1912) from Stuttgart and Wurzburg. Saying ""Even if I return to teach here, I shall always go over for vacation from June to Sept.""","Marcella Boveri, ca. 1900, Deutsches Röntgen-Museum, Lipser & Schmidt, <a href='https://creativecommons.org/licenses/by-nc-sa/2.0/'>CC-BY-NC-SA</a>.",https://upload.wikimedia.org/wikipedia/en/a/a6/Marcella_Boveri.jpg
Ruth Breitwieser,ruth-breitwieser-medicine,APS-WIS,F,,,,Medicine|Tuberculosis research,,University of Pennsylvania|Wellesley College,"Badger, Theodore L., E. Ruth Breitwieser, and Hugo Muench. ""Tuberculin Tine test: multiple-puncture intradermal technique compared with PPD-S, intermediate strength (5 TU)."" <i>American Review of Respiratory Disease</i> 87, no. 3 (1963): 338-353.|Breitwieser, E. Ruth, and T. Grier Miller. ""Recent Advances in Gastro-Enterology."" <i>M. Clin. North America</i> 28 (1944): 1349-1361.",,,,,Ruth Breitwieser was an American medical researcher. She held appointments at the University of Pennsylvania and Wellesley College. Breitwieser was active in tuberculosis research and shared research data with Florence Seibert.,,Florence Barbara Seibert,,,
Esther Breslow,esther-breslow-biochemistry,APS-WIS,F,1931,,,Biochemistry|Chemistry,New York University,Cornell University Medical College,"Breslow, Esther, and Lorraine Abrash. ""The binding of oxytocin and oxytocin analogues by purified bovine neurophysins."" <i>Proceedings of the National Academy of Sciences</i> 56, no. 2 (1966): 640-646.|Breslow, Esther, H. L. Aanning, Lorraine Abrash, and Maurice Schmir. ""Physical and chemical properties of the bovine neurophysins."" <i>Journal of Biological Chemistry</i> 246, no. 17 (1971): 5179-5188.|Breslow, Esther, Vinod Sardana, Ruba Deeb, Elisar Barbar, and David H. Peyton. ""NMR behavior of the aromatic protons of bovine neurophysin-I and its peptide complexes: Implications for solution structure and for function."" <i>Biochemistry</i> 34, no. 7 (1995): 2137-2147.",American Chemical Society,,,image credits,"Esther Breslow is an American biochemist. Breslow had a strong grounding in physical chemistry and received her PhD from New York University in 1959 with a dissertation on synthetic polyribonucleotides. In 1961, Breslow was appointed professor of biochemistry at the Cornell University Medical Center. In her research, Breslow used nuclear magnetic resonance to study protein-ligand recognition and binding on the molecular and thermodynamic level. She was married to chemist Ronald Breslow who credited her expertise and help in his own scientific successes.",,Mildred Cohn,Cohn recommends Breslow for full professor at Cornell's Department of Biochemistry,"Ron and Esther Breslow, just married, Breslow family, Biographical Memoirs of Fellows of the Royal Society.",https://royalsocietypublishing.org/cms/asset/49f7adc2-0e86-458b-90e3-ea5bb5089705/rsbm20180039f02.gif
Matilda Moldenhauer Brooks,72414842,VIAF,F,1888,1981,,Biology|Cellular biology|Physiology,University of Pittsburgh|Harvard University,United States Public Health Service|University of California Berkeley,,,,https://ids.si.edu/ids/iiif/SIA-SIA2007-0392/full/full/0/default.jpg,,"Matilda Moldenhauer Brooks was an American cellular biologist who discovered that the staining compound methylene blue could serve as an antidote to carbon monoxide and cyanide poisoning. She earned her BS and MS from the University of Pittsburgh and her Ph.D. from Harvard University. In 1930, Brooks applied to use the table held by the American Association of University Women at the Naples Zoological Station. Initially, Florence Sabin chose not to advance her application due to a perceived disagreeabilty in Brooks's personality, but was eventually granted the table anyway after a large number of scientists wrote in support of her application.",https://en.wikipedia.org/wiki/Matilda_Moldenhauer_Brooks,William Mansfield Clark|E. Newton Harvey|Florence Rena Sabin,"Dr. Matilda Moldenhauer Brooks - at Univesrity of California in 1930. Applies many times to the Naples Table Association prize, in 1930 there is a large debate over her work with Osterhut saying it's not good and others, like Lenoard Loeb, writing letters to support her. She is married and works with her husband. She is said to have a disagreeable personality that led to a dispute with a ""Dr. Irwin."" Brooks is awarded the Naples table for three months in 1931.","Matilda Moldenhauer Brooks, Julian P. Scott, before 1927. Smithsonian Institution Archives, Accession 90-105, Science Service Records, Image No. SIA2007-0392.",
Esther Caukin Brunauer,309564051,VIAF,F,1901-07-07,1959-06-26,"Jackson, CA",,Mills College|Stanford University,American Association of University Women (AAUW),,,,,,"Esther Caukin Brunauer worked for the American Association of University Women. In 1933, Brunauer was working in Germany as the German government transferred power to the Nazi party. Following this, Brunauer was a strong advocate for American intervention in Europe, arguing for a less isolationist foreign policy. In this network, her efforts manifest in the tireless attempts she made at securing jobs for scholars displaced by fascism. She wrote numerous letters on behalf of scholars such as Lise Meitner and Hertha Sponer in an attempt to find them safe passage out of Germany. Later, Brunauer worked for the US State Department but lost her job as a part of Joseph McCarthy's investigations into people he perceived as disloyal to the United States.",https://en.wikipedia.org/wiki/Esther_Brunauer#Notes,Henry Allen Moe|Florence Rena Sabin,,,
Ute Busemann,ute-reid-microbiology,APS-WIS,F,1932-12-14,2018-07-08,"Dresden, Germany",Microbiology|Biology,,,,,,,,"Ute Busemann Reid worked with Florence Seibert at the University of Pennsylvania, where she also received a degree in microbiology. She was part of a research group that included Elizabeth Eshelman Miller and Eva Soto Figueroa.",https://www.legacy.com/obituaries/legacy/obituary.aspx?n=ute-cornelia-reid-busemann&pid=189914740&fhid=24364,Florence Barbara Seibert,,,
Mary Caldwell,232496189,VIAF,F,1890-12-18,1972-07-01,Bogota,Chemistry,Western College for Women|Columbia University,Columbia University,,American Chemical Society,Garvan Medal,,,"Mary Letitia Caldwell was an American chemist. Caldwell received her PhD from Columbia in pure science in 1921 with a dissertation on amino acids. She subsequently became an instructor and, in 1929, was appointed assistant professor of chemistry, the first woman to receive such a position at Columbia's Graduate School of Arts and Sciences. In 1951, she left teaching to devote herself full-time to her research on enzymes. In 1960, the American Chemical Society awarded her the Garvan Medal for her work on amylase. In studying amylase, Caldwell produced many new, widely adopted techniques for purifying and handling enzymes.",https://en.wikipedia.org/wiki/Mary_Letitia_Caldwell,Mildred Cohn,"Cohn says that Caldwell may not qualify as a bio chemist, but is an outstanding nutritional chemist",,use the letter from the notable american women folder
